produk-href,produk_name,price,description,usia,brand,picture_src-src,category,tipe_produk,manfaat
https://babyzania.com/beli-popok/yummy-bites-star-shaped-pasta-pasta-anak-250gr,Yummy Bites Star Shaped Pasta MPASI Bayi - 250gr,Rp 38.500,Yummy Bites Star Shaped Pasta merupakan makanan pendamping ASI dengan tekstur dan ukuran pasta yang sudah disesuaikan untuk balita sehingga aman untuk si kecil,"infant, toddler, kids ",Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,snack,mpasi
https://babyzania.com/beli-popok/yummy-bites-star-shaped-pasta-pasta-anak-250gr,Yummy Bites Star Shaped Pasta MPASI Bayi - 250gr,Rp 38.500,Yummy Bites Star Shaped Pasta merupakan makanan pendamping ASI dengan tekstur dan ukuran pasta yang sudah disesuaikan untuk balita sehingga aman untuk si kecil,"infant, toddler, kids ",Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,sereal,"energi, protein"
https://babyzania.com/beli-makanan-susu-sereal/ivenet-sweet-potato-puree-original-banana,Ivenet Roasted Sweet Potato Puree Bubur Bayi 90 gr,Rp 45.000,"Ivenet Roasted Sweet Potato adalah MPASI yang terbuat dari 75% ubi manis Korea dan 25% pisang. Cocok untuk anak usia 6 bulan ke atas. Lembut di mulut bayi, kaya nutrisi, dan praktis dibawa kemana-mana.

Tersedia dalam 2 varian rasa:","infant, toddler, kids ",Ivenet,https://assets.babyzania.com/image/cache/catalog/peachy/peachy_pumpkin_corn_milk_potato_puree-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-bubur-tim-ayam-kampung-tomat-wotel-8m-100gr-17967,Promina Bubur Tim Ayam Kampung Tomat Wotel 8m+ - 100gr,Rp 17.500,Tekstur agak kasar mirip bubur saring yang dapat menstimulasi kemampuan mengunyah dan mengigit serta menstimulasi pertumbuhan gigi. Terlengkap dalam pilihan rasa untuk melatih bayi dalam praktek menerima kombinasi rasa agar tidak menjadi “picky eater” dikemudian hari.,"infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/4b96a3c5-3164-45bb-b1a2-1d4940f9488c-250x250.jpeg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-bubur-bayi-pir-jeruk-pepaya-6m-120gr,Promina Bubur Bayi Pir Jeruk Pepaya 6m+ - 120gr,Rp 15.000,"Promina Bubur Bayi Pir Jeruk Papaya adalah perpaduan rasa buah yang segar dari pir, jeruk dan pepaya menciptakan rasa yang menyenangkan bagi si kecil, dan promina bubur bayi ini diolah dengan kehalusan dan kelembutan yang sesuai untuk Si kecil yang baru belajar makan.","infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/52526667_8283a682-85a8-4065-a130-f9db6e76af04_2048_2048-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-makanan-susu-sereal/ivenet-sweet-potato-puree-original-banana,Ivenet Roasted Sweet Potato Puree Bubur Bayi 90 gr,Rp 45.000,"Ivenet Roasted Sweet Potato adalah MPASI yang terbuat dari 75% ubi manis Korea dan 25% pisang. Cocok untuk anak usia 6 bulan ke atas. Lembut di mulut bayi, kaya nutrisi, dan praktis dibawa kemana-mana.

Tersedia dalam 2 varian rasa:","infant, toddler, kids ",Ivenet,https://assets.babyzania.com/image/cache/catalog/peachy/peachy_pumpkin_corn_milk_potato_puree-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/yummy-bites-cereal-200-gr-wheat-milk-dates,Yummy Bites Cereal Sereal MPASI Bayi 200 gr - Wheat Milk Dates,Rp 40.500,Yummy Bites Cereal 200 gr - Wheat Milk Dates merupakan Makanan bubuk instans sereal dengan rasa susu & kurma untuk Anak.,"infant, toddler, kids ",Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-bubur-bayi-ayam-jamur-6m,Promina Bubur Bayi Ayam Kampung & Jamur 6m+,Rp 16.000,"Promina Bubur Bayi Ayam Kampung & Jamur memadukan gurihnya ayam pilihan dan jamur kancing, menciptakan kelezatan rasa yang sesuai untuk si kecil yang baru belajar makan","infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/45b74dec72ba8aa21262da21aa274df3-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/gerber-organic-cereal-1st-food-bubur-bayi-227-gr-rice,Gerber Baby Cereal 1st Food Bubur Bayi 227 gr - Rice,Rp 85.000,"Gerber Cereal 1st Food Bubur Bayi 227 gr -  Rice

KATEGORI UMUR","infant, toddler, kids ",Gerber,https://assets.babyzania.com/image/cache/catalog/1/pigeon_pigeon-mag-mag-spare-straw-new_full02-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-sup-mi-ayam-dan-sayur-12m,Promina Sup Mi Daging dan Sayur 12m+ - 84 gr,Rp 10.700,"Promina Sup Mi Daging dan Sayur memadukan sempurna daging dan sayuran pilihan yang mengandung protein, vitamin dan mineral yang sangat baik bagi pertumbuhan Sikecil. Promina Sup Mi daging dan Sayur memperkenalkan rasa makanan yang enak dan tekstur yang tepat untuk stimulasi perkembangan motoriknya.",infant ,Promina,https://assets.babyzania.com/image/cache/catalog/1/52526667_be808d7c-b7b0-427e-ae82-d5c7a088e62d_2048_2048-250x250.jpg,makanan,sereal,"energi, protein"
